SKU,base-SKU,Style,Category,Size
SET389-KR-NP-S,SET389,SET389,Set,S
JNE3781-KR-XXXL,JNE3781,JNE3781,kurta,3XL
JNE3371-KR-XL,JNE3371,JNE3371,kurta,XL
J0341-DR-L,J0341,J0341,Western Dress,L
JNE3671-TU-XXXL,JNE3671,JNE3671,Top,3XL
SET264-KR-NP-XL,SET264,SET264,Set,XL
J0095-SET-L,J0095,J0095,Set,L
JNE3405-KR-S,JNE3405,JNE3405,kurta,S
SET200-KR-NP-A-XXXL,SET200,SET200,Set,3XL
JNE3461-KR-XXL,JNE3461,JNE3461,kurta,XXL
JNE3160-KR-G-S,JNE3160,JNE3160,kurta,S
JNE3500-KR-XS,JNE3500,JNE3500,kurta,XS
JNE3405-KR-XS,JNE3405,JNE3405,kurta,XS
SET182-KR-DH-XS,SET182,SET182,Set,XS
J0351-SET-L,J0351,J0351,Set,L
PJNE3368-KR-6XL,PJNE3368,PJNE3368,kurta,6XL
JNE3721-KR-XXL,JNE3721,JNE3721,kurta,XXL
JNE3405-KR-XL,JNE3405,JNE3405,kurta,XL
JNE3697-KR-XXL,JNE3697,JNE3697,kurta,XXL
SET254-KR-NP-XS,SET254,SET254,Set,XS
JNE3795-KR-XXXL,JNE3795,JNE3795,kurta,3XL
SET345-KR-NP-M,SET345,SET345,Set,M
JNE3373-KR-L,JNE3373,JNE3373,kurta,L
SET291-KR-PP-M,SET291,SET291,Set,M
MEN5002-KR-L,MEN5002,MEN5002,kurta,L
NW030-TP-PJ-XS,NW030,NW030,Set,XS
JNE3415-KR-XXXL,JNE3415,JNE3415,kurta,3XL
PJNE2199-KR-N-4XL,PJNE2199,PJNE2199,kurta,4XL
JNE3567-KR-M,JNE3567,JNE3567,kurta,M
JNE2132-KR-398-XXXL,JNE2132,JNE2132,kurta,3XL
J0341-DR-S,J0341,J0341,Western Dress,S
MEN5009-KR-XL,MEN5009,MEN5009,kurta,XL
J0011-LCD-M,J0011,J0011,Set,M
JNE3766-KR-M,JNE3766,JNE3766,kurta,M
JNE3373-KR-XL,JNE3373,JNE3373,kurta,XL
MEN5001-KR-XL,MEN5001,MEN5001,kurta,XL
SET345-KR-NP-L,SET345,SET345,Set,L
JNE3787-KR-S,JNE3787,JNE3787,kurta,S
JNE3543-KR-S,JNE3543,JNE3543,kurta,S
JNE3405-KR-L,JNE3405,JNE3405,kurta,L
J0211-DR-XXL,J0211,J0211,Ethnic Dress,XXL
J0401-DR-XXXL,J0401,J0401,Western Dress,3XL
JNE2153-KR-278-A-M,JNE2153,JNE2153,kurta,M
SET360-KR-NP-M,SET360,SET360,Set,M
SET268-KR-NP-L,SET268,SET268,Set,L
SET183-KR-DH-S,SET183,SET183,Set,S
J0230-SKD-L,J0230,J0230,Set,L
JNE3744-TU-S,JNE3744,JNE3744,Top,S
JNE3510-KR-S,JNE3510,JNE3510,kurta,S
JNE3405-KR-M,JNE3405,JNE3405,kurta,M
J0186-SET-S,J0186,J0186,Set,S
J0003-SET-M,J0003,J0003,Set,M
SET282-KR-PP-M,SET282,SET282,Set,M
JNE1407-BLACK-KR-UDF18-XL,JNE1407,JNE1407,kurta,XL
J0301-TP-L,J0301,J0301,Top,L
JNE3869-DR-S,JNE3869,JNE3869,Western Dress,S
SET324-KR-NP-XS,SET324,SET324,Set,XS
SET279-LC-S,SET279,SET279,Set,S
JNE2014-KR-178-XXL,JNE2014,JNE2014,kurta,XXL
NW005-ST-PJ-XL,NW005,NW005,Set,XL
JNE2270-KR-487-A-M,JNE2270,JNE2270,kurta,M
JNE3579-KR-M,JNE3579,JNE3579,kurta,M
SET347-KR-NP-XS,SET347,SET347,Set,XS
SET264-KR-NP-M,SET264,SET264,Set,M
JNE3373-KR-XXL,JNE3373,JNE3373,kurta,XXL
SET333-KR-DPT-XXL,SET333,SET333,Set,XXL
JNE3645-TP-N-L,JNE3645,JNE3645,Top,L
SET233-KR-PP-L,SET233,SET233,Set,L
J0381-SKD-XXXL,J0381,J0381,Set,3XL
JNE3068-KR-A-XL,JNE3068,JNE3068,kurta,XL
JNE3718-KR-M,JNE3718,JNE3718,kurta,M
SET386-KR-NP-S,SET386,SET386,Set,S
JNE3745-KR-XXL,JNE3745,JNE3745,kurta,XXL
JNE3467-KR-XL,JNE3467,JNE3467,kurta,XL
JNE3721-KR-L,JNE3721,JNE3721,kurta,L
JNE3405-KR-XXL,JNE3405,JNE3405,kurta,XXL
SET295-KR-NP-XXXL,SET295,SET295,Set,3XL
JNE3861-DR-XL,JNE3861,JNE3861,Western Dress,XL
SET288-KR-NP-XXXL,SET288,SET288,Set,3XL
SET394-KR-NP-XXXL,SET394,SET394,Set,3XL
SET397-KR-NP-XXXL,SET397,SET397,Set,3XL
MEN5002-KR-XXL,MEN5002,MEN5002,kurta,XXL
SET377-KR-NP-M,SET377,SET377,Set,M
JNE3510-KR-M,JNE3510,JNE3510,kurta,M
BTM038-PP-XXXL,BTM038,BTM038,Bottom,3XL
J0343-DR-M,J0343,J0343,Western Dress,M
J0341-DR-XL,J0341,J0341,Western Dress,XL
J0295-DR-XXL,J0295,J0295,Western Dress,XXL
JNE3560-KR-M,JNE3560,JNE3560,kurta,M
J0333-DR-XXXL,J0333,J0333,Western Dress,3XL
SET389-KR-NP-M,SET389,SET389,Set,M
JNE3801-KR-XXXL,JNE3801,JNE3801,kurta,3XL
SET098-KR-PP-M,SET098,SET098,Set,M
MEN5013-KR-L,MEN5013,MEN5013,kurta,L
J0003-SET-L,J0003,J0003,Set,L
JNE3718-KR-XXXL,JNE3718,JNE3718,kurta,3XL
SET347-KR-NP-S,SET347,SET347,Set,S
JNE3391-KR-XXL,JNE3391,JNE3391,kurta,XXL
SET277-KR-NP-XXL,SET277,SET277,Set,XXL
J0293-DR-S,J0293,J0293,Western Dress,S
SET154-KR-NP-XL,SET154,SET154,Set,XL
JNE3439-KR-XL,JNE3439,JNE3439,kurta,XL
SET291-KR-PP-XL,SET291,SET291,Set,XL
SET293-KR-NP-M,SET293,SET293,Set,M
JNE3648-TP-N-M,JNE3648,JNE3648,Top,M
JNE3334-KR-M,JNE3334,JNE3334,kurta,M
SET331-KR-NP-XS,SET331,SET331,Set,XS
SET265-KR-NP-S,SET265,SET265,Set,S
JNE3718-KR-S,JNE3718,JNE3718,kurta,S
SET397-KR-NP  -M,SET397,SET397,Set,M
JNE3861-DR-XXL,JNE3861,JNE3861,Western Dress,XXL
J0335-DR-XL,J0335,J0335,Western Dress,XL
J0335-DR-XXL,J0335,J0335,Western Dress,XXL
JNE1525-KR-UDF19-A-S,JNE1525,JNE1525,kurta,S
JNE3654-TP-XL,JNE3654,JNE3654,Top,XL
JNE3261-KR-S,JNE3261,JNE3261,kurta,S
SET324-KR-NP-S,SET324,SET324,Set,S
SET332-KR-PP-S,SET332,SET332,Set,S
SET324-KR-NP-XXXL,SET324,SET324,Set,3XL
SET280-KR-PP-S,SET280,SET280,Set,S
JNE3618-KR-XXL,JNE3618,JNE3618,kurta,XXL
SET304-KR-DPT-XS,SET304,SET304,Set,XS
MEN5032-KR-XXXL,MEN5032,MEN5032,kurta,3XL
SET110-KR-PP-XXL,SET110,SET110,Set,XXL
SET324-KR-NP-M,SET324,SET324,Set,M
SET269-KR-NP-XXXL,SET269,SET269,Set,3XL
JNE3794-KR-M,JNE3794,JNE3794,kurta,M
JNE3291-KR-XXL,JNE3291,JNE3291,kurta,XXL
JNE3440-KR-N-XXXL,JNE3440,JNE3440,kurta,3XL
JNE2270-KR-487-A-XXL,JNE2270,JNE2270,kurta,XXL
JNE3261-KR-M,JNE3261,JNE3261,kurta,M
SET110-KR-PP-M,SET110,SET110,Set,M
J0300-TP-XXXL,J0300,J0300,Top,3XL
JNE3810-KR-S,JNE3810,JNE3810,kurta,S
JNE3461-KR-XL,JNE3461,JNE3461,kurta,XL
JNE3429-KR-XL,JNE3429,JNE3429,kurta,XL
JNE3710-DR-S,JNE3710,JNE3710,Western Dress,S
J0113-TP-XS,J0113,J0113,Top,XS
SET355-KR-PP-M,SET355,SET355,Set,M
J0009-SKD-S,J0009,J0009,Set,S
J0248-KR-DPT-XL,J0248,J0248,Set,XL
JNE3560-KR-XL,JNE3560,JNE3560,kurta,XL
JNE3373-KR-XXXL,JNE3373,JNE3373,kurta,3XL
SET398-KR-PP-L,SET398,SET398,Set,L
NW032-ST-CP-XXL,NW032,NW032,Set,XXL
SET361-KR-NP-S,SET361,SET361,Set,S
JNE3797-KR-L,JNE3797,JNE3797,Western Dress,L
JNE3887-KR-XL,JNE3887,JNE3887,kurta,XL
JNE3870-DR-XXL,JNE3870,JNE3870,Western Dress,XXL
SET345-KR-NP-XS,SET345,SET345,Set,XS
NW013-ST-SR-L,NW013,NW013,Set,L
JNE2014-KR-178-XL,JNE2014,JNE2014,kurta,XL
JNE3612-KR-S,JNE3612,JNE3612,kurta,S
PJNE2100-KR-N-6XL,PJNE2100,PJNE2100,kurta,6XL
SET398-KR-PP-XXXL,SET398,SET398,Set,3XL
J0006-SET-M,J0006,J0006,Ethnic Dress,M
JNE3437-KR-S,JNE3437,JNE3437,kurta,S
JNE3465-KR-S,JNE3465,JNE3465,kurta,S
J0373-KR-XXXL,J0373,J0373,kurta,3XL
J0344-TP-XXXL,J0344,J0344,Top,3XL
J0118-TP-XXL,J0118,J0118,Top,XXL
SET200-KR-NP-A-XS,SET200,SET200,Set,XS
JNE1998-KR-311-XXL,JNE1998,JNE1998,kurta,XXL
MEN5004-KR-XXXL,MEN5004,MEN5004,kurta,3XL
SET345-KR-NP-XXL,SET345,SET345,Set,XXL
JNE3654-TP-L,JNE3654,JNE3654,Top,L
J0344-TP-L,J0344,J0344,Top,L
J0334-TP-L,J0334,J0334,Top,L
J0230-SKD-S,J0230,J0230,Set,S
JNE1233-BLUE-KR-031-XXL,JNE1233,JNE1233,kurta,XXL
J0295-DR-M,J0295,J0295,Western Dress,M
SET324-KR-NP-L,SET324,SET324,Set,L
J0147-SET-XL,J0147,J0147,Set,XL
J0308-DR-L,J0308,J0308,Western Dress,L
NW030-TP-PJ-L,NW030,NW030,Set,L
SET360-KR-NP-XL,SET360,SET360,Set,XL
PJNE3373-KR-N-6XL,PJNE3373,PJNE3373,kurta,6XL
JNE3449-KR-XXL,JNE3449,JNE3449,kurta,XXL
JNE3786-KR-S,JNE3786,JNE3786,kurta,S
J0003-SET-XXL,J0003,J0003,Set,XXL
J0314-KR-M,J0314,J0314,kurta,M
J0341-DR-M,J0341,J0341,Western Dress,M
PJNE3068-KR-4XL,PJNE3068,PJNE3068,kurta,4XL
J0340-TP-M,J0340,J0340,Top,M
JNE3687-TU-M,JNE3687,JNE3687,Top,M
J0376-SKD-L,J0376,J0376,Set,L
J0198-TP-S,J0198,J0198,Top,S
JNE3453-KR-S,JNE3453,JNE3453,kurta,S
SET398-KR-PP-M,SET398,SET398,Set,M
NW033-ST-CP-XXXL,NW033,NW033,Set,3XL
NW037-TP-SR-XXXL,NW037,NW037,Set,3XL
JNE3618-KR-M,JNE3618,JNE3618,kurta,M
SET290-KR-DPT-M,SET290,SET290,Set,M
J0003-SET-XXXL,J0003,J0003,Set,3XL
JNE2153-KR-278-A-S,JNE2153,JNE2153,kurta,S
JNE3645-TP-N-XS,JNE3645,JNE3645,Top,XS
JNE3662-TP-XS,JNE3662,JNE3662,Top,XS
JNE3440-KR-N-L,JNE3440,JNE3440,kurta,L
SET331-KR-NP-S,SET331,SET331,Set,S
J0301-TP-M,J0301,J0301,Top,M
MEN5004-KR-XL,MEN5004,MEN5004,kurta,XL
J0352-KR-S,J0352,J0352,kurta,S
JNE3160-KR-G-XXL,JNE3160,JNE3160,kurta,XXL
JNE3798-KR-M,JNE3798,JNE3798,Western Dress,M
JNE3690-TU-XL,JNE3690,JNE3690,Top,XL
SET355-KR-PP-XXL,SET355,SET355,Set,XXL
SET317-KR-PP-XXL,SET317,SET317,Set,XXL
SET375-KR-NP-XL,SET375,SET375,Set,XL
JNE3371-KR-M,JNE3371,JNE3371,kurta,M
SET116-KR-NP-XL,SET116,SET116,Set,XL
SET147-KR-NP-XL,SET147,SET147,Set,XL
SET397-KR-NP-XL,SET397,SET397,Set,XL
SET300-KR-NP-L,SET300,SET300,Set,L
JNE3384-KR-M,JNE3384,JNE3384,kurta,M
JNE3291-KR-XL,JNE3291,JNE3291,kurta,XL
SET291-KR-PP-L,SET291,SET291,Set,L
JNE3399-KR-L,JNE3399,JNE3399,kurta,L
JNE3440-KR-N-XS,JNE3440,JNE3440,kurta,XS
SET363-KR-NP-XXL,SET363,SET363,Set,XXL
J0348-SET-S,J0348,J0348,Set,S
J0399-DR-M,J0399,J0399,Western Dress,M
JNE3797-KR-M,JNE3797,JNE3797,Western Dress,M
JNE3440-KR-N-M,JNE3440,JNE3440,kurta,M
JNE3802-KR-M,JNE3802,JNE3802,kurta,M
J0285-SKD-M,J0285,J0285,Set,M
SET322-KR-SHA-XL,SET322,SET322,Set,XL
MEN5021-KR-XL,MEN5021,MEN5021,kurta,XL
PJ0096-KR-N-5XL,PJ0096,PJ0096,kurta,5XL
JNE3461-KR-M,JNE3461,JNE3461,kurta,M
SET383-KR-NP-L,SET383,SET383,Set,L
J0002-SKD-XXXL,J0002,J0002,Set,3XL
SET344-KR-NP-XXXL,SET344,SET344,Set,3XL
JNE3465-KR-XXL,JNE3465,JNE3465,kurta,XXL
SET324-KR-NP-XXL,SET324,SET324,Set,XXL
SET184-KR-PP-XXXL,SET184,SET184,Set,3XL
J0008-SKD-S,J0008,J0008,Set,S
J0008-SKD-XXL,J0008,J0008,Set,XXL
J0013-SKD-XXL,J0013,J0013,Set,XXL
J0208-DR-S,J0208,J0208,Western Dress,S
SET344-KR-NP-XL,SET344,SET344,Set,XL
NW001-TP-PJ-XXL,NW001,NW001,Set,XXL
SET304-KR-DPT-S,SET304,SET304,Set,S
SET265-KR-NP-XL,SET265,SET265,Set,XL
SET004-KR-SP-A-S,SET004,SET004,Set,S
J0012-SKD-M,J0012,J0012,Set,M
JNE3465-KR-M,JNE3465,JNE3465,kurta,M
SET374-KR-NP-XS,SET374,SET374,Set,XS
JNE3567-KR-XL,JNE3567,JNE3567,kurta,XL
J0041-SET-M,J0041,J0041,Set,M
JNE3611-KR-XL,JNE3611,JNE3611,kurta,XL
SET384-KR-NP-XS,SET384,SET384,Set,XS
JNE3635-KR-L,JNE3635,JNE3635,kurta,L
J0118-TP-XXXL,J0118,J0118,Top,3XL
JNE3654-TP-XS,JNE3654,JNE3654,Top,XS
JNE3652-TP-N-XL,JNE3652,JNE3652,Top,XL
J0339-DR-L,J0339,J0339,Western Dress,L
SET303-KR-NP-XL,SET303,SET303,Set,XL
JNE3396-KR-XXXL,JNE3396,JNE3396,kurta,3XL
JNE3256-KR-XXXL,JNE3256,JNE3256,kurta,3XL
J0340-TP-XS,J0340,J0340,Top,XS
J0335-DR-S,J0335,J0335,Western Dress,S
J0008-SKD-L,J0008,J0008,Set,L
SET268-KR-NP-XS,SET268,SET268,Set,XS
J0280-SKD-S,J0280,J0280,Set,S
J0339-DR-M,J0339,J0339,Western Dress,M
JNE3564-KR-XXXL,JNE3564,JNE3564,kurta,3XL
SET182-KR-DH-L,SET182,SET182,Set,L
SET128-KR-DH-M,SET128,SET128,Set,M
JNE3567-KR-XXL,JNE3567,JNE3567,kurta,XXL
JNE3568-KR-L,JNE3568,JNE3568,kurta,L
JNE3881-DR-XXXL,JNE3881,JNE3881,Western Dress,3XL
JNE3639-TP-N-XXL,JNE3639,JNE3639,Top,XXL
SET291-KR-PP-XXL,SET291,SET291,Set,XXL
JNE3613-KR-XXL,JNE3613,JNE3613,kurta,XXL
JNE3368-KR-XXXL,JNE3368,JNE3368,kurta,3XL
JNE3522-KR-XXL,JNE3522,JNE3522,kurta,XXL
JNE3741-KR-XXL,JNE3741,JNE3741,kurta,XXL
SET293-KR-NP-S,SET293,SET293,Set,S
SET388-KR-NP-L,SET388,SET388,Set,L
J0008-SKD-XS,J0008,J0008,Set,XS
SET197-KR-NP-L,SET197,SET197,Set,L
MEN5029-KR-M,MEN5029,MEN5029,kurta,M
J0341-DR-XS,J0341,J0341,Western Dress,XS
J0010-LCD-L,J0010,J0010,Set,L
JNE3800-KR-M,JNE3800,JNE3800,Western Dress,M
SET183-KR-DH-M,SET183,SET183,Set,M
J0341-DR-XXL,J0341,J0341,Western Dress,XXL
J0341-DR-XXXL,J0341,J0341,Western Dress,3XL
J0331-KR-XXXL,J0331,J0331,kurta,3XL
JNE3752-KR-XXXL,JNE3752,JNE3752,kurta,3XL
SET369-KR-NP-XXL,SET369,SET369,Set,XXL
JNE3373-KR-XS,JNE3373,JNE3373,kurta,XS
JNE3805-KR-L,JNE3805,JNE3805,kurta,L
JNE3537-KR-M,JNE3537,JNE3537,kurta,M
J0003-SET-XL,J0003,J0003,Set,XL
SET436-KR-NP-XXXL,SET436,SET436,Set,3XL
SET264-KR-NP-XXL,SET264,SET264,Set,XXL
JNE3567-KR-XS,JNE3567,JNE3567,kurta,XS
J0329-KR-XXXL,J0329,J0329,kurta,3XL
JNE3568-KR-XL,JNE3568,JNE3568,kurta,XL
SET341-KR-NP-L,SET341,SET341,Set,L
JNE3543-KR-M,JNE3543,JNE3543,kurta,M
JNE3365-KR-1052-A-S,JNE3365,JNE3365,kurta,S
JNE3759-KR-XL,JNE3759,JNE3759,kurta,XL
MEN5001-KR-L,MEN5001,MEN5001,kurta,L
J0098-TP-XS,J0098,J0098,Top,XS
SET226-KR-PP-L,SET226,SET226,Set,L
SET380-KR-NP-XXXL,SET380,SET380,Set,3XL
MEN5009-KR-M,MEN5009,MEN5009,kurta,M
MEN5011-KR-M,MEN5011,MEN5011,kurta,M
MEN5032-KR-S,MEN5032,MEN5032,kurta,S
SET359-KR-NP-XXL,SET359,SET359,Set,XXL
J0199-SET-XXXL,J0199,J0199,Set,3XL
J0401-DR-L,J0401,J0401,Western Dress,L
J0003-SET-XS,J0003,J0003,Set,XS
J0308-DR-XL,J0308,J0308,Western Dress,XL
PJNE3252-KR-N-6XL,PJNE3252,PJNE3252,kurta,6XL
JNE3752-KR-M,JNE3752,JNE3752,kurta,M
SET217-KR-PP-XXXL,SET217,SET217,Set,3XL
JNE3799-KR-XL,JNE3799,JNE3799,kurta,XL
JNE3294-KR-S,JNE3294,JNE3294,kurta,S
SET356-KR-NP-XXXL,SET356,SET356,Set,3XL
JNE2014-KR-178-XXXL,JNE2014,JNE2014,kurta,3XL
JNE3405-KR-XXXL,JNE3405,JNE3405,kurta,3XL
J0230-SKD-XXL,J0230,J0230,Set,XXL
JNE3465-KR-XXXL,JNE3465,JNE3465,kurta,3XL
SET265-KR-NP-M,SET265,SET265,Set,M
JNE3288-KR-M,JNE3288,JNE3288,kurta,M
SET316-KR-DPT-M,SET316,SET316,Set,M
SET268-KR-NP-S,SET268,SET268,Set,S
JNE3800-KR-XXL,JNE3800,JNE3800,Western Dress,XXL
JNE2270-KR-487-A-L,JNE2270,JNE2270,kurta,L
MEN5024-KR-M,MEN5024,MEN5024,kurta,M
MEN5023-KR-XL,MEN5023,MEN5023,kurta,XL
JNE3797-KR-XS,JNE3797,JNE3797,Western Dress,XS
JNE3515-KR-XL,JNE3515,JNE3515,kurta,XL
J0225-SKD-XXL,J0225,J0225,Set,XXL
JNE3461-KR-L,JNE3461,JNE3461,kurta,L
JNE3618-KR-XS,JNE3618,JNE3618,kurta,XS
PJNE3405-KR-N-5XL,PJNE3405,PJNE3405,kurta,5XL
JNE3500-KR-S,JNE3500,JNE3500,kurta,S
JNE3368-KR-XXL,JNE3368,JNE3368,kurta,XXL
JNE2270-KR-487-A-XL,JNE2270,JNE2270,kurta,XL
JNE3568-KR-S,JNE3568,JNE3568,kurta,S
J0096-KR-S,J0096,J0096,kurta,S
SET319-KR-NP-S,SET319,SET319,Set,S
J0415-DR-L,J0415,J0415,Western Dress,L
JNE3718-KR-XXL,JNE3718,JNE3718,kurta,XXL
SET408-KR-NP-XXL,SET408,SET408,Set,XXL
J0254-SKD-XS,J0254,J0254,Set,XS
SAR114,SAR114,SAR114,Saree,Free
SET186-KR-DH-K-M,SET186,SET186,Set,M
JNE3819-KR-L,JNE3819,JNE3819,kurta,L
J0335-DR-L,J0335,J0335,Western Dress,L
SET334-KR-NP-XXL,SET334,SET334,Set,XXL
JNE3470-KR-XS,JNE3470,JNE3470,kurta,XS
JNE3619-KR-XS,JNE3619,JNE3619,kurta,XS
JNE3440-KR-N-XL,JNE3440,JNE3440,kurta,XL
JNE3787-KR-XXL,JNE3787,JNE3787,kurta,XXL
SET282-KR-PP-XXL,SET282,SET282,Set,XXL
JNE3691-TU-L,JNE3691,JNE3691,Top,L
JNE3727-KR-XXL,JNE3727,JNE3727,kurta,XXL
JNE3634-KR-XL,JNE3634,JNE3634,kurta,XL
JNE3675-TU-L,JNE3675,JNE3675,Top,L
JNE2199-KR-411-A-XXL,JNE2199,JNE2199,kurta,XXL
SET184-KR-PP-XXL,SET184,SET184,Set,XXL
JNE3468-KR-L,JNE3468,JNE3468,kurta,L
J0213-TP-L,J0213,J0213,Top,L
BL110-XL,BL110,BL110,Blouse,XL
J0008-SKD-XL,J0008,J0008,Set,XL
SET288-KR-NP-XXL,SET288,SET288,Set,XXL
SET110-KR-PP-L,SET110,SET110,Set,L
MEN5031-KR-XXXL,MEN5031,MEN5031,kurta,3XL
JNE3421-KR-N-M,JNE3421,JNE3421,kurta,M
SET351-KR-NP-L,SET351,SET351,Set,L
SET337-KR-NP-L,SET337,SET337,Set,L
MEN5021-KR-XXL,MEN5021,MEN5021,kurta,XXL
J0338-DR-L,J0338,J0338,Western Dress,L
JNE3364-KR-1051-A-L,JNE3364,JNE3364,kurta,L
JNE3568-KR-XXL,JNE3568,JNE3568,kurta,XXL
JNE2153-KR-278-A-XL,JNE2153,JNE2153,kurta,XL
JNE3487-KR-XXL,JNE3487,JNE3487,kurta,XXL
JNE3865-TP-XXXL,JNE3865,JNE3865,Top,3XL
SET291-KR-PP-XXXL,SET291,SET291,Set,3XL
JNE3704-KR-L,JNE3704,JNE3704,kurta,L
J0378-SKD-XXL,J0378,J0378,Set,XXL
JNE3721-KR-XL,JNE3721,JNE3721,kurta,XL
J0308-DR-XXL,J0308,J0308,Western Dress,XXL
SET398-KR-PP-XXL,SET398,SET398,Set,XXL
J0157-DR-S,J0157,J0157,Western Dress,S
JNE3799-KR-S,JNE3799,JNE3799,kurta,S
JNE2265-KR-501-S,JNE2265,JNE2265,kurta,S
JNE3401-KR-M,JNE3401,JNE3401,kurta,M
SET332-KR-PP-L,SET332,SET332,Set,L
SET345-KR-NP-XL,SET345,SET345,Set,XL
JNE1525-KR-UDF19-A-XL,JNE1525,JNE1525,kurta,XL
J0373-KR-M,J0373,J0373,kurta,M
JNE3449-KR-XXXL,JNE3449,JNE3449,kurta,3XL
J0006-SET-L,J0006,J0006,Ethnic Dress,L
SET228-KR-PP-A-XXXL,SET228,SET228,Set,3XL
MEN5023-KR-S,MEN5023,MEN5023,kurta,S
SET388-KR-NP-S,SET388,SET388,Set,S
SET333-KR-DPT-XL,SET333,SET333,Set,XL
SET172-KR-PP-B-M,SET172,SET172,Set,M
SET268-KR-NP-XL,SET268,SET268,Set,XL
SET319-KR-NP-XL,SET319,SET319,Set,XL
SET378-KR-NP-XS,SET378,SET378,Set,XS
SET344-KR-NP-S,SET344,SET344,Set,S
MEN5002-KR-M,MEN5002,MEN5002,kurta,M
MEN5006-KR-XXL,MEN5006,MEN5006,kurta,XXL
SET363-KR-NP-XL,SET363,SET363,Set,XL
JNE3794-KR-XXXL,JNE3794,JNE3794,kurta,3XL
SET131-KR-NP-A-XXL,SET131,SET131,Set,XXL
SET203-KR-DPT-S,SET203,SET203,Set,S
SET098-KR-PP-XL,SET098,SET098,Set,XL
JNE3614-KR-M,JNE3614,JNE3614,kurta,M
J0201-TP-L,J0201,J0201,Top,L
SET201-KR-NP-A-XXL,SET201,SET201,Set,XXL
NW030-TP-PJ-XXL,NW030,NW030,Set,XXL
SET273-KR-NP-XXXL,SET273,SET273,Set,3XL
JNE3690-TU-L,JNE3690,JNE3690,Top,L
J0247-SKD-S,J0247,J0247,Set,S
SET347-KR-NP-XXXL,SET347,SET347,Set,3XL
J0386-KR-XXXL,J0386,J0386,kurta,3XL
J0342-TP-L,J0342,J0342,Top,L
SET363-KR-NP-L,SET363,SET363,Set,L
J0342-TP-M,J0342,J0342,Top,M
J0198-TP-XXXL,J0198,J0198,Top,3XL
JNE3500-KR-XXL,JNE3500,JNE3500,kurta,XXL
JNE3510-KR-XL,JNE3510,JNE3510,kurta,XL
J0005-DR-XXL,J0005,J0005,Western Dress,XXL
SET360-KR-NP-XXL,SET360,SET360,Set,XXL
SET110-KR-PP-S,SET110,SET110,Set,S
J0416-DR-S,J0416,J0416,Western Dress,S
SET310-KR-NP-XXL,SET310,SET310,Set,XXL
SET188-KR-NP-XS,SET188,SET188,Set,XS
J0096-KR-XS,J0096,J0096,kurta,XS
SET323-KR-NP-XXL,SET323,SET323,Set,XXL
PJNE2100-KR-N-5XL,PJNE2100,PJNE2100,kurta,5XL
PJNE3068-KR-5XL,PJNE3068,PJNE3068,kurta,5XL
J0196-TP-XXL,J0196,J0196,Top,XXL
SET187-KR-DH-XL,SET187,SET187,Set,XL
SET389-KR-NP-XL,SET389,SET389,Set,XL
SAR040,SAR040,SAR040,Saree,Free
J0372-SKD-L,J0372,J0372,Set,L
J0376-SKD-S,J0376,J0376,Set,S
JNE3518-KR-M,JNE3518,JNE3518,kurta,M
J0095-SET-XXXL,J0095,J0095,Set,3XL
NW004-TP-PJ-XXXL,NW004,NW004,Set,3XL
J0167-KR-S,J0167,J0167,kurta,S
SET374-KR-NP-XXXL,SET374,SET374,Set,3XL
SET331-KR-NP-M,SET331,SET331,Set,M
SET356-KR-NP-L,SET356,SET356,Set,L
SET293-KR-NP-XXL,SET293,SET293,Set,XXL
SET375-KR-NP-XXL,SET375,SET375,Set,XXL
JNE3273-KR-XXL,JNE3273,JNE3273,kurta,XXL
SET331-KR-NP-L,SET331,SET331,Set,L
JNE3518-KR-XL,JNE3518,JNE3518,kurta,XL
JNE3476-KR-XL,JNE3476,JNE3476,kurta,XL
JNE3738-KR-XXXL,JNE3738,JNE3738,kurta,3XL
JNE3465-KR-XS,JNE3465,JNE3465,kurta,XS
JNE3463-KR-XXXL,JNE3463,JNE3463,kurta,3XL
MEN5032-KR-XXL,MEN5032,MEN5032,kurta,XXL
SET380-KR-NP-L,SET380,SET380,Set,L
J0230-SKD-M,J0230,J0230,Set,M
JNE3611-KR-XXXL,JNE3611,JNE3611,kurta,3XL
JNE3784-KR-M,JNE3784,JNE3784,kurta,M
SET114-KR-PP-XS,SET114,SET114,Set,XS
J0385-KR-M,J0385,J0385,kurta,M
SET347-KR-NP-L,SET347,SET347,Set,L
JNE3437-KR-XXL,JNE3437,JNE3437,kurta,XXL
JNE3065-KR-XXL,JNE3065,JNE3065,kurta,XXL
J0343-DR-XXL,J0343,J0343,Western Dress,XXL
J0119-TP-XL,J0119,J0119,Top,XL
J0334-TP-XL,J0334,J0334,Top,XL
J0236-SKD-XXL,J0236,J0236,Set,XXL
J0126-SKD-XXXL,J0126,J0126,Set,3XL
J0230-SKD-XL,J0230,J0230,Set,XL
SET171-KR-NP-M,SET171,SET171,Set,M
JNE3365-KR-1052-A-XXXL,JNE3365,JNE3365,kurta,3XL
J0012-SKD-XXL,J0012,J0012,Set,XXL
J0308-DR-M,J0308,J0308,Western Dress,M
J0117-TP-XXL,J0117,J0117,Top,XXL
SET265-KR-NP-XS,SET265,SET265,Set,XS
SET433-KR-NP-XL,SET433,SET433,Set,XL
JNE3769-KR-L,JNE3769,JNE3769,kurta,L
